2026-06-15 13:54:20,059 [INFO] Dispatch cell updated. Re-export to Excel to save changes.
2026-06-15 13:54:28,490 [INFO] File renamed to S&J SALES CORPORATION GRN RC-MAM-000019337-19338 IN TRV 26 81.pdf
2026-06-15 13:54:28,491 [INFO] Dispatch cell updated. Re-export to Excel to save changes.
2026-06-15 14:01:50,871 [INFO] [LEGACY] Scan_0002.pdf [9/10]
2026-06-15 14:02:15,186 [INFO] File renamed to CHEF 2 CHEF LLC GRN RC-MAM-000019328-19329 IN C2C-EX-MAL-OUR-221.pdf
2026-06-15 14:02:15,187 [INFO] Dispatch cell updated. Re-export to Excel to save changes.
2026-06-15 14:02:39,193 [INFO] Dispatch cell updated. Re-export to Excel to save changes.
2026-06-15 14:03:16,698 [INFO] File renamed to CHEF 2 CHEF LLC GRN RC-MAM-000019328 IN C2C-EX-MAL-OUR-221.pdf
2026-06-15 14:03:16,698 [INFO] Dispatch cell updated. Re-export to Excel to save changes.
2026-06-15 14:10:47,748 [INFO] [LEGACY] Scan_0001.pdf [10/10]
2026-06-15 14:16:24,387 [INFO] File renamed to EASTERN AND ALLIED SRILANKA GRN RC-MAM-000019326-19327 IN FV20260.pdf
2026-06-15 14:16:24,388 [INFO] Dispatch cell updated. Re-export to Excel to save changes.
2026-06-15 14:16:56,464 [INFO] Dispatch cell updated. Re-export to Excel to save changes.
2026-06-15 14:17:18,938 [INFO] File renamed to EASTERN AND ALLIED SRILANKA GRN RC-MAM-000019325-19326-19327 IN FV20260.pdf
2026-06-15 14:17:18,939 [INFO] Dispatch cell updated. Re-export to Excel to save changes.
2026-06-15 14:19:19,440 [INFO] Extract & Process complete — 10 succeeded, 0 failed.
2026-06-15 14:19:37,041 [INFO] File renamed to AIRSEAFOODS GMBH GRN RC-MAM-000019321-19322-19323-19324-600019321 IN 26-05-10-00324.pdf
2026-06-15 14:19:37,042 [INFO] Dispatch cell updated. Re-export to Excel to save changes.
2026-06-15 14:21:27,033 [INFO] Dispatch cell updated. Re-export to Excel to save changes.
2026-06-15 14:21:49,442 [INFO] File renamed to AIRSEAFOODS GMBH GRN RC-MAM-000019321-19322-19323-19324 IN 26-05-10-00324.pdf
2026-06-15 14:21:49,442 [INFO] Dispatch cell updated. Re-export to Excel to save changes.
2026-06-15 14:21:54,575 [INFO] Excel exported: C:\Users\STORESCHAMPIONS\OneDrive - outrigger.com\Desktop\Roni\New folder\GRN_OUTPUT_20260615_142154.xlsx
2026-06-15 15:00:33,614 [INFO] Application started.
